artifact_set,artifact_type,artifact_main,n_need
Husk of Opulent Dreams,Flower,HP,2
Husk of Opulent Dreams,Goblet,DEF,2
Long Night's Oath,Circlet,CritDMG,2
Long Night's Oath,Feather,ATK,2
Long Night's Oath,Flower,HP,2
Maiden Beloved,Sands,ATK,2
Maiden Beloved,Sands,HP,2
Night of the Sky's Unveiling,Circlet,CritRate,2
Night of the Sky's Unveiling,Feather,ATK,2
Night of the Sky's Unveiling,Flower,HP,2
Noblesse Obliege,Feather,ATK,2
Noblesse Obliege,Flower,HP,2
Noblesse Oblige,Circlet,EM,2
Noblesse Oblige,Goblet,EM,2
Obsidian Codex,Feather,ATK,2
Ocean-Hued Clam,Sands,ER,2
Ocean-Hued Clam,Sands,HP,2
Pale Flame,Circlet,CritRate,2
Pale Flame,Goblet,PhysicalDMG,2
Retracing Bolide,Sands,DEF,2
Scroll of the Hero of Cinder City,Circlet,CritRate,2
Shimenawa's Reminiscence,Feather,ATK,2
Shimenawa's Reminiscence,Flower,HP,2
Silken Moon's Serenade,Feather,ATK,2
Silken Moon's Serenade,Goblet,EM,2
Song of Day's Past,Circlet,HealingBonus,2
Song of Day's Past,Feather,ATK,2
Song of Day's Past,Flower,HP,2
Tenacity of the Milileth,Sands,ER,2
Thundering Fury,Circlet,CritDMG,2
Thundering Fury,Goblet,ElectroDMG,2
Thundering Fury,Sands,ATK,2
Viridescent Venerer,Circlet,EM,2
Viridescent Venerer,Sands,EM,2
Vourukasha's Glow,Circlet,HP,2
Wanderer's Troupe,Flower,HP,2
A Day Carved From Rising Winds,Circlet,CritDMG,1
A Day Carved From Rising Winds,Goblet,ElectroDMG,1
A Day Carved From Rising Winds,Goblet,HydroDMG,1
A Day Carved From Rising Winds,Goblet,PyroDMG,1
A Day Carved From Rising Winds,Sands,EM-EM-EM,1
A Day Carved From Rising Winds,circlet,ATK,1
A Day Carved From Rising Winds,circlet,DEF,1
A Day Carved From Rising Winds,circlet,EM,1
A Day Carved From Rising Winds,circlet,HP,1
A Day Carved From Rising Winds,circlet,HealingBonus,1
A Day Carved From Rising Winds,circlet,critDMG,1
A Day Carved From Rising Winds,circlet,critRate,1
A Day Carved From Rising Winds,flower,hp,1
A Day Carved From Rising Winds,goblet,ATK,1
A Day Carved From Rising Winds,goblet,AnemoDMG,1
A Day Carved From Rising Winds,goblet,CryoDMG,1
A Day Carved From Rising Winds,goblet,DEF,1
A Day Carved From Rising Winds,goblet,DendroDMG,1
A Day Carved From Rising Winds,goblet,EM,1
A Day Carved From Rising Winds,goblet,ElectroDMG,1
A Day Carved From Rising Winds,goblet,GeoDMG,1
A Day Carved From Rising Winds,goblet,HP,1
A Day Carved From Rising Winds,goblet,HydroDMG,1
A Day Carved From Rising Winds,goblet,PyroDMG,1
A Day Carved From Rising Winds,plume,ATK,1
A Day Carved From Rising Winds,sands,ATK,1
A Day Carved From Rising Winds,sands,DEF,1
A Day Carved From Rising Winds,sands,EM,1
A Day Carved From Rising Winds,sands,ER,1
A Day Carved From Rising Winds,sands,HP,1
A Day Carved from Rising Winds,Circlet,ATK,1
A Day Carved from Rising Winds,Feather,ATK,1
A Day Carved from Rising Winds,Flower,HP,1
A Day Carved from Rising Winds,Goblet,ATK,1
A Day Carved from Rising Winds,Sands,ATK,1
Archaic Petra,Circlet,CritRate,1
Archaic Petra,Circlet,HealingBonus,1
Archaic Petra,Flower,HP,1
Archaic Petra,Goblet,DEF,1
Archaic Petra,Goblet,GeoDMG,1
Archaic Petra,Sands,DEF,1
Archaic Petra,Sands,ER,1
Archaic Petra,circlet,ATK,1
Archaic Petra,circlet,DEF,1
Archaic Petra,circlet,EM,1
Archaic Petra,circlet,HP,1
Archaic Petra,circlet,HealingBonus,1
Archaic Petra,circlet,critDMG,1
Archaic Petra,circlet,critRate,1
Archaic Petra,flower,hp,1
Archaic Petra,goblet,ATK,1
Archaic Petra,goblet,AnemoDMG,1
Archaic Petra,goblet,CryoDMG,1
Archaic Petra,goblet,DEF,1
Archaic Petra,goblet,DendroDMG,1
Archaic Petra,goblet,EM,1
Archaic Petra,goblet,ElectroDMG,1
Archaic Petra,goblet,GeoDMG,1
Archaic Petra,goblet,HP,1
Archaic Petra,goblet,HydroDMG,1
Archaic Petra,goblet,PyroDMG,1
Archaic Petra,plume,ATK,1
Archaic Petra,sands,ATK,1
Archaic Petra,sands,DEF,1
Archaic Petra,sands,EM,1
Archaic Petra,sands,ER,1
Archaic Petra,sands,HP,1
Aubade of Morningstar and Moon,Circlet,CritRate,1
Aubade of Morningstar and Moon,Feather,ATK,1
Aubade of Morningstar and Moon,Flower,HP,1
Aubade of Morningstar and Moon,Goblet,EM,1
Aubade of Morningstar and Moon,Sands,EM,1
Aubade of Morningstar and Moon,Sands,ER,1
Aubade of Morningstar and Moon,Sands,HP,1
Aubade of Morningstar and Moon,circlet,ATK,1
Aubade of Morningstar and Moon,circlet,DEF,1
Aubade of Morningstar and Moon,circlet,EM,1
Aubade of Morningstar and Moon,circlet,HP,1
Aubade of Morningstar and Moon,circlet,HealingBonus,1
Aubade of Morningstar and Moon,circlet,critDMG,1
Aubade of Morningstar and Moon,circlet,critRate,1
Aubade of Morningstar and Moon,flower,hp,1
Aubade of Morningstar and Moon,goblet,ATK,1
Aubade of Morningstar and Moon,goblet,AnemoDMG,1
Aubade of Morningstar and Moon,goblet,CryoDMG,1
Aubade of Morningstar and Moon,goblet,DEF,1
Aubade of Morningstar and Moon,goblet,DendroDMG,1
Aubade of Morningstar and Moon,goblet,EM,1
Aubade of Morningstar and Moon,goblet,ElectroDMG,1
Aubade of Morningstar and Moon,goblet,GeoDMG,1
Aubade of Morningstar and Moon,goblet,HP,1
Aubade of Morningstar and Moon,goblet,HydroDMG,1
Aubade of Morningstar and Moon,goblet,PyroDMG,1
Aubade of Morningstar and Moon,plume,ATK,1
Aubade of Morningstar and Moon,sands,ATK,1
Aubade of Morningstar and Moon,sands,DEF,1
Aubade of Morningstar and Moon,sands,EM,1
Aubade of Morningstar and Moon,sands,ER,1
Aubade of Morningstar and Moon,sands,HP,1
Blizzard Strayer,Goblet,Cryo-DMG,1
Blizzard Strayer,Goblet,EM,1
Blizzard Strayer,Sands,EM,1
Blizzard Strayer,circlet,ATK,1
Blizzard Strayer,circlet,DEF,1
Blizzard Strayer,circlet,EM,1
Blizzard Strayer,circlet,HP,1
Blizzard Strayer,circlet,HealingBonus,1
Blizzard Strayer,circlet,critDMG,1
Blizzard Strayer,circlet,critRate,1
Blizzard Strayer,flower,hp,1
Blizzard Strayer,goblet,ATK,1
Blizzard Strayer,goblet,AnemoDMG,1
Blizzard Strayer,goblet,CryoDMG,1
Blizzard Strayer,goblet,DEF,1
Blizzard Strayer,goblet,DendroDMG,1
Blizzard Strayer,goblet,EM,1
Blizzard Strayer,goblet,ElectroDMG,1
Blizzard Strayer,goblet,GeoDMG,1
Blizzard Strayer,goblet,HP,1
Blizzard Strayer,goblet,HydroDMG,1
Blizzard Strayer,goblet,PyroDMG,1
Blizzard Strayer,plume,ATK,1
Blizzard Strayer,sands,ATK,1
Blizzard Strayer,sands,DEF,1
Blizzard Strayer,sands,EM,1
Blizzard Strayer,sands,ER,1
Blizzard Strayer,sands,HP,1
Blizzard Strayer-Finale of Deep Galleries,Circlet,HP,1
Blizzard Strayer-Finale of Deep Galleries,Feather,ATK,1
Blizzard Strayer-Finale of Deep Galleries,Flower,HP,1
Blizzard Strayer-Finale of Deep Galleries,Goblet,CryoDMG,1
Blizzard Strayer-Finale of Deep Galleries,Sands,EM,1
Bloodstained Chivalry,Feather,ATK,1
Bloodstained Chivalry,Feather,HP,1
Bloodstained Chivalry,Flower,ATK,1
Bloodstained Chivalry,Flower,HP,1
Bloodstained Chivalry,Sands,ATK,1
Bloodstained Chivalry,Sands,PhysicalDMG,1
Crimson Witch of Flames,Circlet,CritRate,1
Crimson Witch of Flames,Circlet,EM,1
Crimson Witch of Flames,Sands,ER,1
Crimson Witch of Flames,Sands,HP,1
Crimson Witch of Flames,circlet,ATK,1
Crimson Witch of Flames,circlet,DEF,1
Crimson Witch of Flames,circlet,EM,1
Crimson Witch of Flames,circlet,HP,1
Crimson Witch of Flames,circlet,HealingBonus,1
Crimson Witch of Flames,circlet,critDMG,1
Crimson Witch of Flames,circlet,critRate,1
Crimson Witch of Flames,flower,hp,1
Crimson Witch of Flames,goblet,ATK,1
Crimson Witch of Flames,goblet,AnemoDMG,1
Crimson Witch of Flames,goblet,CryoDMG,1
Crimson Witch of Flames,goblet,DEF,1
Crimson Witch of Flames,goblet,DendroDMG,1
Crimson Witch of Flames,goblet,EM,1
Crimson Witch of Flames,goblet,ElectroDMG,1
Crimson Witch of Flames,goblet,GeoDMG,1
Crimson Witch of Flames,goblet,HP,1
Crimson Witch of Flames,goblet,HydroDMG,1
Crimson Witch of Flames,goblet,PyroDMG,1
Crimson Witch of Flames,plume,ATK,1
Crimson Witch of Flames,sands,ATK,1
Crimson Witch of Flames,sands,DEF,1
Crimson Witch of Flames,sands,EM,1
Crimson Witch of Flames,sands,ER,1
Crimson Witch of Flames,sands,HP,1
Dawning Frost,Circlet,HP,1
Dawning Frost,Feather,ATK,1
Dawning Frost,Flower,HP,1
Dawning Frost,Goblet,HP,1
Dawning Frost,Sands,ER,1
Deepwood Memories,Circlet,ATK ,1
Deepwood Memories,Circlet,CritRate,1
Deepwood Memories,Circlet,HealingBonus,1
Deepwood Memories,Circlet,HealingBonus ,1
Deepwood Memories,Goblet,ATK,1
Deepwood Memories,Goblet,DendroDMG,1
Deepwood Memories,Sands,ER,1
Deepwood Memories,Sands,HP,1
Deepwood Memories,circlet,ATK,1
Deepwood Memories,circlet,DEF,1
Deepwood Memories,circlet,EM,1
Deepwood Memories,circlet,HP,1
Deepwood Memories,circlet,HealingBonus,1
Deepwood Memories,circlet,critDMG,1
Deepwood Memories,circlet,critRate,1
Deepwood Memories,flower,hp,1
Deepwood Memories,goblet,ATK,1
Deepwood Memories,goblet,AnemoDMG,1
Deepwood Memories,goblet,CryoDMG,1
Deepwood Memories,goblet,DEF,1
Deepwood Memories,goblet,DendroDMG,1
Deepwood Memories,goblet,EM,1
Deepwood Memories,goblet,ElectroDMG,1
Deepwood Memories,goblet,GeoDMG,1
Deepwood Memories,goblet,HP,1
Deepwood Memories,goblet,HydroDMG,1
Deepwood Memories,goblet,PyroDMG,1
Deepwood Memories,plume,ATK,1
Deepwood Memories,sands,ATK,1
Deepwood Memories,sands,DEF,1
Deepwood Memories,sands,EM,1
Deepwood Memories,sands,ER,1
Deepwood Memories,sands,HP,1
Desert Pavilion Chroncile,Circlet,CritDMG,1
Desert Pavilion Chroncile,Feather,ATK,1
Desert Pavilion Chroncile,Flower,HP,1
Desert Pavilion Chroncile,Goblet,AnemoDMG,1
Desert Pavilion Chroncile,Sands,ER,1
Desert Pavillion Chronicle,Circlet,EM,1
Desert Pavillion Chronicle,Feather,ATK,1
Desert Pavillion Chronicle,Flower,HP,1
Desert Pavillion Chronicle,Sands,EM,1
Desert Pavillion Chronicle,circlet,ATK,1
Desert Pavillion Chronicle,circlet,DEF,1
Desert Pavillion Chronicle,circlet,EM,1
Desert Pavillion Chronicle,circlet,HP,1
Desert Pavillion Chronicle,circlet,HealingBonus,1
Desert Pavillion Chronicle,circlet,critDMG,1
Desert Pavillion Chronicle,circlet,critRate,1
Desert Pavillion Chronicle,flower,hp,1
Desert Pavillion Chronicle,goblet,ATK,1
Desert Pavillion Chronicle,goblet,AnemoDMG,1
Desert Pavillion Chronicle,goblet,CryoDMG,1
Desert Pavillion Chronicle,goblet,DEF,1
Desert Pavillion Chronicle,goblet,DendroDMG,1
Desert Pavillion Chronicle,goblet,EM,1
Desert Pavillion Chronicle,goblet,ElectroDMG,1
Desert Pavillion Chronicle,goblet,GeoDMG,1
Desert Pavillion Chronicle,goblet,HP,1
Desert Pavillion Chronicle,goblet,HydroDMG,1
Desert Pavillion Chronicle,goblet,PyroDMG,1
Desert Pavillion Chronicle,plume,ATK,1
Desert Pavillion Chronicle,sands,ATK,1
Desert Pavillion Chronicle,sands,DEF,1
Desert Pavillion Chronicle,sands,EM,1
Desert Pavillion Chronicle,sands,ER,1
Desert Pavillion Chronicle,sands,HP,1
Echoes of An Offering,circlet,ATK,1
Echoes of An Offering,circlet,DEF,1
Echoes of An Offering,circlet,EM,1
Echoes of An Offering,circlet,HP,1
Echoes of An Offering,circlet,HealingBonus,1
Echoes of An Offering,circlet,critDMG,1
Echoes of An Offering,circlet,critRate,1
Echoes of An Offering,flower,hp,1
Echoes of An Offering,goblet,ATK,1
Echoes of An Offering,goblet,AnemoDMG,1
Echoes of An Offering,goblet,CryoDMG,1
Echoes of An Offering,goblet,DEF,1
Echoes of An Offering,goblet,DendroDMG,1
Echoes of An Offering,goblet,EM,1
Echoes of An Offering,goblet,ElectroDMG,1
Echoes of An Offering,goblet,GeoDMG,1
Echoes of An Offering,goblet,HP,1
Echoes of An Offering,goblet,HydroDMG,1
Echoes of An Offering,goblet,PyroDMG,1
Echoes of An Offering,plume,ATK,1
Echoes of An Offering,sands,ATK,1
Echoes of An Offering,sands,DEF,1
Echoes of An Offering,sands,EM,1
Echoes of An Offering,sands,ER,1
Echoes of An Offering,sands,HP,1
Echos of an Offering,Circlet,CritDMG,1
Echos of an Offering,Feather,ATK,1
Echos of an Offering,Flower,HP,1
Echos of an Offering,Goblet,HydroDMG,1
Echos of an Offering,Sands,ATK,1
Emblem of Severed Fate,Circlet,CritDMG,1
Emblem of Severed Fate,Feather,CritRate,1
Emblem of Severed Fate,Feather,HP,1
Emblem of Severed Fate,Flower,ElectroDMG,1
Emblem of Severed Fate,Goblet,ATK,1
Emblem of Severed Fate,Goblet,HP,1
Emblem of Severed Fate,Goblet,HydroDMG,1
Emblem of Severed Fate,Goblet,PyroDMG,1
Emblem of Severed Fate,Sands,ATK,1
Emblem of Severed Fate,Sands,HP,1
Emblem of Severed Fate,circlet,ATK,1
Emblem of Severed Fate,circlet,DEF,1
Emblem of Severed Fate,circlet,EM,1
Emblem of Severed Fate,circlet,HP,1
Emblem of Severed Fate,circlet,HealingBonus,1
Emblem of Severed Fate,circlet,critDMG,1
Emblem of Severed Fate,circlet,critRate,1
Emblem of Severed Fate,flower,hp,1
Emblem of Severed Fate,goblet,ATK,1
Emblem of Severed Fate,goblet,AnemoDMG,1
Emblem of Severed Fate,goblet,CryoDMG,1
Emblem of Severed Fate,goblet,DEF,1
Emblem of Severed Fate,goblet,DendroDMG,1
Emblem of Severed Fate,goblet,EM,1
Emblem of Severed Fate,goblet,ElectroDMG,1
Emblem of Severed Fate,goblet,GeoDMG,1
Emblem of Severed Fate,goblet,HP,1
Emblem of Severed Fate,goblet,HydroDMG,1
Emblem of Severed Fate,goblet,PyroDMG,1
Emblem of Severed Fate,plume,ATK,1
Emblem of Severed Fate,sands,ATK,1
Emblem of Severed Fate,sands,DEF,1
Emblem of Severed Fate,sands,EM,1
Emblem of Severed Fate,sands,ER,1
Emblem of Severed Fate,sands,HP,1
Finale of Deep Galleries,circlet,ATK,1
Finale of Deep Galleries,circlet,DEF,1
Finale of Deep Galleries,circlet,EM,1
Finale of Deep Galleries,circlet,HP,1
Finale of Deep Galleries,circlet,HealingBonus,1
Finale of Deep Galleries,circlet,critDMG,1
Finale of Deep Galleries,circlet,critRate,1
Finale of Deep Galleries,flower,hp,1
Finale of Deep Galleries,goblet,ATK,1
Finale of Deep Galleries,goblet,AnemoDMG,1
Finale of Deep Galleries,goblet,CryoDMG,1
Finale of Deep Galleries,goblet,DEF,1
Finale of Deep Galleries,goblet,DendroDMG,1
Finale of Deep Galleries,goblet,EM,1
Finale of Deep Galleries,goblet,ElectroDMG,1
Finale of Deep Galleries,goblet,GeoDMG,1
Finale of Deep Galleries,goblet,HP,1
Finale of Deep Galleries,goblet,HydroDMG,1
Finale of Deep Galleries,goblet,PyroDMG,1
Finale of Deep Galleries,plume,ATK,1
Finale of Deep Galleries,sands,ATK,1
Finale of Deep Galleries,sands,DEF,1
Finale of Deep Galleries,sands,EM,1
Finale of Deep Galleries,sands,ER,1
Finale of Deep Galleries,sands,HP,1
Finale of Deep Galleries-Blizzard Strayer,Circlet,CritDMG,1
Finale of Deep Galleries-Blizzard Strayer,Feather,ATK,1
Finale of Deep Galleries-Blizzard Strayer,Flower,HP,1
Finale of Deep Galleries-Blizzard Strayer,Goblet,EM,1
Finale of Deep Galleries-Blizzard Strayer,Sands,EM,1
Flower of Paradise Lost,Circlet,CritDMG,1
Flower of Paradise Lost,Circlet,CritRate,1
Flower of Paradise Lost,Goblet,DendroDMG,1
Flower of Paradise Lost,Sands,ER,1
Flower of Paradise Lost,circlet,ATK,1
Flower of Paradise Lost,circlet,DEF,1
Flower of Paradise Lost,circlet,EM,1
Flower of Paradise Lost,circlet,HP,1
Flower of Paradise Lost,circlet,HealingBonus,1
Flower of Paradise Lost,circlet,critDMG,1
Flower of Paradise Lost,circlet,critRate,1
Flower of Paradise Lost,flower,hp,1
Flower of Paradise Lost,goblet,ATK,1
Flower of Paradise Lost,goblet,AnemoDMG,1
Flower of Paradise Lost,goblet,CryoDMG,1
Flower of Paradise Lost,goblet,DEF,1
Flower of Paradise Lost,goblet,DendroDMG,1
Flower of Paradise Lost,goblet,EM,1
Flower of Paradise Lost,goblet,ElectroDMG,1
Flower of Paradise Lost,goblet,GeoDMG,1
Flower of Paradise Lost,goblet,HP,1
Flower of Paradise Lost,goblet,HydroDMG,1
Flower of Paradise Lost,goblet,PyroDMG,1
Flower of Paradise Lost,plume,ATK,1
Flower of Paradise Lost,sands,ATK,1
Flower of Paradise Lost,sands,DEF,1
Flower of Paradise Lost,sands,EM,1
Flower of Paradise Lost,sands,ER,1
Flower of Paradise Lost,sands,HP,1
Fragment of Harmonic Whimsy,Feather,ATK,1
Fragment of Harmonic Whimsy,Flower,HP,1
Fragment of Harmonic Whimsy,Goblet,ElectroDMG,1
Fragment of Harmonic Whimsy,Goblet,HydroDMG,1
Fragment of Harmonic Whimsy,Sands,ATK,1
Fragment of Harmonic Whimsy,Sands,ER,1
Fragment of Harmonic Whimsy,circlet,ATK,1
Fragment of Harmonic Whimsy,circlet,DEF,1
Fragment of Harmonic Whimsy,circlet,EM,1
Fragment of Harmonic Whimsy,circlet,HP,1
Fragment of Harmonic Whimsy,circlet,HealingBonus,1
Fragment of Harmonic Whimsy,circlet,critDMG,1
Fragment of Harmonic Whimsy,circlet,critRate,1
Fragment of Harmonic Whimsy,flower,hp,1
Fragment of Harmonic Whimsy,goblet,ATK,1
Fragment of Harmonic Whimsy,goblet,AnemoDMG,1
Fragment of Harmonic Whimsy,goblet,CryoDMG,1
Fragment of Harmonic Whimsy,goblet,DEF,1
Fragment of Harmonic Whimsy,goblet,DendroDMG,1
Fragment of Harmonic Whimsy,goblet,EM,1
Fragment of Harmonic Whimsy,goblet,ElectroDMG,1
Fragment of Harmonic Whimsy,goblet,GeoDMG,1
Fragment of Harmonic Whimsy,goblet,HP,1
Fragment of Harmonic Whimsy,goblet,HydroDMG,1
Fragment of Harmonic Whimsy,goblet,PyroDMG,1
Fragment of Harmonic Whimsy,plume,ATK,1
Fragment of Harmonic Whimsy,sands,ATK,1
Fragment of Harmonic Whimsy,sands,DEF,1
Fragment of Harmonic Whimsy,sands,EM,1
Fragment of Harmonic Whimsy,sands,ER,1
Fragment of Harmonic Whimsy,sands,HP,1
Gilded Dreams,Circlet,HP,1
Gilded Dreams,Goblet,ATK,1
Gilded Dreams,Goblet,AnemoDMG,1
Gilded Dreams,Goblet,DendroDMG,1
Gilded Dreams,Sands,ATK,1
Gilded Dreams,Sands,HP,1
Gilded Dreams,circlet,ATK,1
Gilded Dreams,circlet,DEF,1
Gilded Dreams,circlet,EM,1
Gilded Dreams,circlet,HP,1
Gilded Dreams,circlet,HealingBonus,1
Gilded Dreams,circlet,critDMG,1
Gilded Dreams,circlet,critRate,1
Gilded Dreams,flower,hp,1
Gilded Dreams,goblet,ATK,1
Gilded Dreams,goblet,AnemoDMG,1
Gilded Dreams,goblet,CryoDMG,1
Gilded Dreams,goblet,DEF,1
Gilded Dreams,goblet,DendroDMG,1
Gilded Dreams,goblet,EM,1
Gilded Dreams,goblet,ElectroDMG,1
Gilded Dreams,goblet,GeoDMG,1
Gilded Dreams,goblet,HP,1
Gilded Dreams,goblet,HydroDMG,1
Gilded Dreams,goblet,PyroDMG,1
Gilded Dreams,plume,ATK,1
Gilded Dreams,sands,ATK,1
Gilded Dreams,sands,DEF,1
Gilded Dreams,sands,EM,1
Gilded Dreams,sands,ER,1
Gilded Dreams,sands,HP,1
Gladiator's Finale,Circlet,ATK,1
Gladiator's Finale,Feather,HP,1
Gladiator's Finale,Flower,ER,1
Gladiator's Finale,Goblet,ATK,1
Gladiator's Finale,Sands,ATK,1
Gladiator's Finale,circlet,ATK,1
Gladiator's Finale,circlet,DEF,1
Gladiator's Finale,circlet,EM,1
Gladiator's Finale,circlet,HP,1
Gladiator's Finale,circlet,HealingBonus,1
Gladiator's Finale,circlet,critDMG,1
Gladiator's Finale,circlet,critRate,1
Gladiator's Finale,flower,hp,1
Gladiator's Finale,goblet,ATK,1
Gladiator's Finale,goblet,AnemoDMG,1
Gladiator's Finale,goblet,CryoDMG,1
Gladiator's Finale,goblet,DEF,1
Gladiator's Finale,goblet,DendroDMG,1
Gladiator's Finale,goblet,EM,1
Gladiator's Finale,goblet,ElectroDMG,1
Gladiator's Finale,goblet,GeoDMG,1
Gladiator's Finale,goblet,HP,1
Gladiator's Finale,goblet,HydroDMG,1
Gladiator's Finale,goblet,PyroDMG,1
Gladiator's Finale,plume,ATK,1
Gladiator's Finale,sands,ATK,1
Gladiator's Finale,sands,DEF,1
Gladiator's Finale,sands,EM,1
Gladiator's Finale,sands,ER,1
Gladiator's Finale,sands,HP,1
Golden Troupe,Goblet,DEF,1
Golden Troupe,Goblet,ElectroDMG,1
Golden Troupe,Sands,DEF,1
Golden Troupe,Sands,ER,1
Golden Troupe,circlet,ATK,1
Golden Troupe,circlet,DEF,1
Golden Troupe,circlet,EM,1
Golden Troupe,circlet,HP,1
Golden Troupe,circlet,HealingBonus,1
Golden Troupe,circlet,critDMG,1
Golden Troupe,circlet,critRate,1
Golden Troupe,flower,hp,1
Golden Troupe,goblet,ATK,1
Golden Troupe,goblet,AnemoDMG,1
Golden Troupe,goblet,CryoDMG,1
Golden Troupe,goblet,DEF,1
Golden Troupe,goblet,DendroDMG,1
Golden Troupe,goblet,EM,1
Golden Troupe,goblet,ElectroDMG,1
Golden Troupe,goblet,GeoDMG,1
Golden Troupe,goblet,HP,1
Golden Troupe,goblet,HydroDMG,1
Golden Troupe,goblet,PyroDMG,1
Golden Troupe,plume,ATK,1
Golden Troupe,sands,ATK,1
Golden Troupe,sands,DEF,1
Golden Troupe,sands,EM,1
Golden Troupe,sands,ER,1
Golden Troupe,sands,HP,1
Heart of Depths,Circlet,CritDMG,1
Heart of Depths,Feather,ATK,1
Heart of Depths,Flower,HP,1
Heart of Depths,Goblet,HydroDMG,1
Heart of Depths,Sands,ATK,1
Heart of Depths,circlet,ATK,1
Heart of Depths,circlet,DEF,1
Heart of Depths,circlet,EM,1
Heart of Depths,circlet,HP,1
Heart of Depths,circlet,HealingBonus,1
Heart of Depths,circlet,critDMG,1
Heart of Depths,circlet,critRate,1
Heart of Depths,flower,hp,1
Heart of Depths,goblet,ATK,1
Heart of Depths,goblet,AnemoDMG,1
Heart of Depths,goblet,CryoDMG,1
Heart of Depths,goblet,DEF,1
Heart of Depths,goblet,DendroDMG,1
Heart of Depths,goblet,EM,1
Heart of Depths,goblet,ElectroDMG,1
Heart of Depths,goblet,GeoDMG,1
Heart of Depths,goblet,HP,1
Heart of Depths,goblet,HydroDMG,1
Heart of Depths,goblet,PyroDMG,1
Heart of Depths,plume,ATK,1
Heart of Depths,sands,ATK,1
Heart of Depths,sands,DEF,1
Heart of Depths,sands,EM,1
Heart of Depths,sands,ER,1
Heart of Depths,sands,HP,1
Heart of Depths-Nymph's Dream,Circlet,CritRate,1
